instance_path,tasks,machines,scenarios,psc,instance_index,solve_time_seconds,lower_bound,upper_bound,gap_percent,optimal,iterations,cp_calls,cut_count
10_2_10/os_0_com_0_time_0_rcom_0/0.txt,10,2,10,L,0,0.42,565,565,0,1,1,30,0
10_2_10/os_0_com_0_time_0_rcom_0/1.txt,10,2,10,L,1,0.23,513,513,0,1,8,241,42
10_2_10/os_0_com_0_time_0_rcom_0/2.txt,10,2,10,L,2,0.23,646,646,0,1,8,178,24
10_2_10/os_0_com_0_time_0_rcom_0/3.txt,10,2,10,L,3,0.06,770,770,0,1,2,39,2
10_2_10/os_0_com_0_time_0_rcom_0/4.txt,10,2,10,L,4,0.12,620,620,0,1,4,113,37
10_2_10/os_0_com_0_time_0_rcom_0/5.txt,10,2,10,L,5,0.22,534,534,0,1,8,209,60
10_2_10/os_0_com_0_time_0_rcom_0/6.txt,10,2,10,L,6,0.08,496,496,0,1,3,113,13
10_2_10/os_0_com_0_time_0_rcom_0/7.txt,10,2,10,L,7,0.3,641,641,0,1,12,390,78
10_2_10/os_0_com_0_time_0_rcom_0/8.txt,10,2,10,L,8,0.26,532,532,0,1,10,307,41
10_2_10/os_0_com_0_time_0_rcom_0/9.txt,10,2,10,L,9,0.24,647,647,0,1,9,252,44
10_2_10/os_1_com_0_time_0_rcom_0/0.txt,10,2,10,H,0,0.04,750,750,0,1,1,30,0
10_2_10/os_1_com_0_time_0_rcom_0/1.txt,10,2,10,H,1,0.02,690,690,0,1,1,30,0
10_2_10/os_1_com_0_time_0_rcom_0/2.txt,10,2,10,H,2,0.19,725,725,0,1,8,259,40
10_2_10/os_1_com_0_time_0_rcom_0/3.txt,10,2,10,H,3,0.36,861,861,0,1,10,374,90
10_2_10/os_1_com_0_time_0_rcom_0/4.txt,10,2,10,H,4,0.06,814,814,0,1,3,69,5
10_2_10/os_1_com_0_time_0_rcom_0/5.txt,10,2,10,H,5,0.11,700,700,0,1,3,113,11
10_2_10/os_1_com_0_time_0_rcom_0/6.txt,10,2,10,H,6,0.07,714,714,0,1,2,65,3
10_2_10/os_1_com_0_time_0_rcom_0/7.txt,10,2,10,H,7,0.13,846,846,0,1,3,111,13
10_2_10/os_1_com_0_time_0_rcom_0/8.txt,10,2,10,H,8,0.09,648,648,0,1,4,88,8
10_2_10/os_1_com_0_time_0_rcom_0/9.txt,10,2,10,H,9,0.12,724,724,0,1,2,69,2
10_2_30/os_0_com_0_time_0_rcom_0/0.txt,10,2,30,L,0,0.25,1654,1654,0,1,4,212,33
10_2_30/os_0_com_0_time_0_rcom_0/1.txt,10,2,30,L,1,0.53,1433,1433,0,1,6,620,181
10_2_30/os_0_com_0_time_0_rcom_0/2.txt,10,2,30,L,2,0.46,1925,1925,0,1,5,402,158
10_2_30/os_0_com_0_time_0_rcom_0/3.txt,10,2,30,L,3,0.79,1407,1407,0,1,10,1003,189
10_2_30/os_0_com_0_time_0_rcom_0/4.txt,10,2,30,L,4,0.68,1642,1642,0,1,8,593,113
10_2_30/os_0_com_0_time_0_rcom_0/5.txt,10,2,30,L,5,0.76,1867,1867,0,1,10,798,160
10_2_30/os_0_com_0_time_0_rcom_0/6.txt,10,2,30,L,6,0.33,1653,1653,0,1,4,393,58
10_2_30/os_0_com_0_time_0_rcom_0/7.txt,10,2,30,L,7,0.44,2142,2142,0,1,4,262,69
10_2_30/os_0_com_0_time_0_rcom_0/8.txt,10,2,30,L,8,0.35,1936,1936,0,1,4,259,26
10_2_30/os_0_com_0_time_0_rcom_0/9.txt,10,2,30,L,9,1.34,1670,1670,0,1,14,1475,477
10_2_30/os_1_com_0_time_0_rcom_0/0.txt,10,2,30,H,0,1.23,2181,2181,0,1,9,982,192
10_2_30/os_1_com_0_time_0_rcom_0/1.txt,10,2,30,H,1,0.27,2230,2230,0,1,1,90,0
10_2_30/os_1_com_0_time_0_rcom_0/2.txt,10,2,30,H,2,0.36,2192,2192,0,1,3,215,10
10_2_30/os_1_com_0_time_0_rcom_0/3.txt,10,2,30,H,3,0.32,1857,1857,0,1,3,278,13
10_2_30/os_1_com_0_time_0_rcom_0/4.txt,10,2,30,H,4,1.36,2366,2366,0,1,16,1647,284
10_2_30/os_1_com_0_time_0_rcom_0/5.txt,10,2,30,H,5,0.32,2599,2599,0,1,5,353,17
10_2_30/os_1_com_0_time_0_rcom_0/6.txt,10,2,30,H,6,0.53,2003,2003,0,1,6,573,65
10_2_30/os_1_com_0_time_0_rcom_0/7.txt,10,2,30,H,7,0.89,2673,2673,0,1,8,916,146
10_2_30/os_1_com_0_time_0_rcom_0/8.txt,10,2,30,H,8,0.35,2528,2528,0,1,3,205,17
10_2_30/os_1_com_0_time_0_rcom_0/9.txt,10,2,30,H,9,0.63,2303,2303,0,1,8,708,80
10_2_50/os_0_com_0_time_0_rcom_0/0.txt,10,2,50,L,0,0.39,2068,2068,0,1,4,504,109
10_2_50/os_0_com_0_time_0_rcom_0/1.txt,10,2,50,L,1,1.78,2966,2966,0,1,14,2251,469
10_2_50/os_0_com_0_time_0_rcom_0/2.txt,10,2,50,L,2,2.23,3688,3688,0,1,15,2260,805
10_2_50/os_0_com_0_time_0_rcom_0/3.txt,10,2,50,L,3,0.46,3263,3263,0,1,3,362,11
10_2_50/os_0_com_0_time_0_rcom_0/4.txt,10,2,50,L,4,0.65,2941,2941,0,1,4,516,166
10_2_50/os_0_com_0_time_0_rcom_0/5.txt,10,2,50,L,5,0.65,2649,2649,0,1,6,845,123
10_2_50/os_0_com_0_time_0_rcom_0/6.txt,10,2,50,L,6,0.63,2688,2688,0,1,4,889,189
10_2_50/os_0_com_0_time_0_rcom_0/7.txt,10,2,50,L,7,1.2,2665,2665,0,1,12,1522,239
10_2_50/os_0_com_0_time_0_rcom_0/8.txt,10,2,50,L,8,1.14,2621,2621,0,1,9,1539,323
10_2_50/os_0_com_0_time_0_rcom_0/9.txt,10,2,50,L,9,0.22,2044,2044,0,1,3,369,46
10_2_50/os_1_com_0_time_0_rcom_0/0.txt,10,2,50,H,0,0.26,3258,3258,0,1,3,312,31
10_2_50/os_1_com_0_time_0_rcom_0/1.txt,10,2,50,H,1,1.12,3861,3861,0,1,6,1103,125
10_2_50/os_1_com_0_time_0_rcom_0/2.txt,10,2,50,H,2,1.25,4454,4454,0,1,5,1015,121
10_2_50/os_1_com_0_time_0_rcom_0/3.txt,10,2,50,H,3,2.64,4170,4170,0,1,13,2643,609
10_2_50/os_1_com_0_time_0_rcom_0/4.txt,10,2,50,H,4,0.34,3800,3800,0,1,3,264,2
10_2_50/os_1_com_0_time_0_rcom_0/5.txt,10,2,50,H,5,0.42,3698,3698,0,1,1,150,0
